n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,n_assigned_DA,n_assigned_EE,n_assigned_EADA,sol_1_label,sol_2_label,sol_3_label,sol_4_label,sol_5_label,sol_6_label,1_avg_rank_result,1_avg_rank_heur,1_n_assigned,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,1_n_match_support,2_avg_rank_result,2_avg_rank_heur,2_n_assigned,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,2_n_match_support,3_avg_rank_result,3_avg_rank_heur,3_n_assigned,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,3_n_match_support,4_avg_rank_result,4_avg_rank_heur,4_n_assigned,4_bool_CG,4_time,4_time_lim_exceeded,4_optimal,4_n_iter,4_n_match,4_n_match_support,5_avg_rank_result,5_avg_rank_heur,5_n_assigned,5_bool_CG,5_time,5_time_lim_exceeded,5_optimal,5_n_iter,5_n_match,5_n_match_support,6_avg_rank_result,6_avg_rank_heur,6_n_assigned,6_bool_CG,6_time,6_time_lim_exceeded,6_optimal,6_n_iter,6_n_match,6_n_match_support,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA,4_n_stud_impr_DA,4_avg_rank_impr_DA,4_median_rank_impr_DA,4_n_stud_impr_EE,4_avg_rank_impr_EE,4_median_rank_impr_EE,4_n_stud_impr_EADA,4_avg_rank_impr_EADA,4_median_rank_impr_EADA,5_n_stud_impr_DA,5_avg_rank_impr_DA,5_median_rank_impr_DA,5_n_stud_impr_EE,5_avg_rank_impr_EE,5_median_rank_impr_EE,5_n_stud_impr_EADA,5_avg_rank_impr_EADA,5_median_rank_impr_EADA,6_n_stud_impr_DA,6_avg_rank_impr_DA,6_median_rank_impr_DA,6_n_stud_impr_EE,6_avg_rank_impr_EE,6_median_rank_impr_EE,6_n_stud_impr_EADA,6_avg_rank_impr_EADA,6_median_rank_impr_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EADA_DA,avg_rank_impr_EADA_DA,median_rank_impr_EADA_DA,n_stud_impr_EADA_EE,avg_rank_impr_EADA_EE,median_rank_impr_EADA_EE,n_stud_impr_EE_EADA,avg_rank_impr_EE_EADA,median_rank_impr_EE_EADA
80,16,0.0,0.6,906691059,600,6,1.8472250000000006,1.6865875000000017,1.6809500000000017,80.0,80.00000000000007,80.00000000000004,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.5144580848467721,1.5261259596517578,79.99999999999996,True,600,True,False,6,5725,52,1.5560710544333294,1.5627411859719125,80.00000000000001,True,600,True,False,6,5775,74,1.5645769979639872,1.5728596590287591,80.00000000000001,True,600,True,False,6,5759,81,1.492347900449164,1.4932608246724748,80.00000000000001,True,600,True,False,2,11953,48,,,,,,,,,,,1.5490124999999988,1.5490124999999977,80.0000000000001,True,600,True,False,2,11917,88,65,0.4095592801885853,0.28639726174380375,29,0.31482161750166643,0.17839726174380455,26,0.35525283416354014,0.25016306136100597,72,0.32350438396296527,0.260204630010878,60,0.17402192742222616,0.11593602589133445,30,0.18116171705863984,0.11228328889859018,72,0.3140533355955674,0.2425698018950958,47,0.16915488612173504,0.11300000000000077,60,0.15516400271468075,0.09578583935817042,66,0.4301540600616164,0.30000000000000127,26,0.36564207283510847,0.16900000000000115,23,0.38974601243543344,0.16200000000000037,,,,,,,,,,72,0.33134722222222157,0.261925334558201,46,0.17711225197123212,0.10950000000000004,62,0.17024193548387037,0.11099999999999954,69,0.1862463768115929,0.1489999999999978,69,0.19278260869565217,0.1549999999999998,24,0.03579166666666781,0.02600000000000091,11,0.047181818181816944,0.024999999999999023
80,16,0.0,0.6,413653999,600,6,1.7716875000000012,1.6373125000000006,1.6185625,80.00000000000003,80.00000000000004,80.00000000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.4621893876329883,1.467290315938536,80.00000000000004,True,600,True,False,6,5712,54,1.4940831710157922,1.497982369171872,80.00000000000018,True,600,True,False,6,5826,72,,,nan,True,627.8827790999785,False,False,7,7001,0,1.4411423676261252,1.4411423676261252,79.99999999999996,True,600,True,False,3,12883,54,,,,,,,,,,,,,nan,True,600,False,False,3,13001,0,66,0.3751492271115274,0.23911449223719383,24,0.36685687344664913,0.25856490043381475,23,0.3535872710387563,0.221129800867629,68,0.32659332821671316,0.24134841911165694,63,0.1818785129958189,0.11620912116365134,31,0.17229019917674912,0.10494564810702567,0,0,0,0,0,0,0,0,0,66,0.4006607665137852,0.23271410074758542,26,0.39780732280995956,0.25437485689858413,24,0.39978484366111733,0.24261079738127628,,,,,,,,,,0,0,0,0,0,0,0,0,0,66,0.16287878787878665,0.11299999999999899,66,0.1856060606060606,0.14100000000000001,33,0.038090909090910195,0.02400000000000091,6,0.029333333333332212,0.017999999999998684
80,16,0.0,0.6,813847339,600,6,1.7061624999999996,1.5475000000000017,1.5241375000000015,80.00000000000004,80.00000000000014,80.00000000000009,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.3840698584235038,1.3914506131581021,79.99999999999996,True,600,True,False,6,5867,54,1.4285561488550889,1.4350850959892296,79.9999999999998,True,600,True,False,6,5881,70,1.449882452846709,1.4563107146735768,80.0,True,600,True,False,6,5893,91,1.3597519839349403,1.36010761495472,80.0,True,600,True,False,3,12955,54,,,,,,,,,,,1.4296035714285693,1.4296730769230765,80.00000000000001,True,600,True,False,3,12939,84,65,0.39642171270953097,0.2341069917472156,26,0.3756543424188728,0.22050000000000364,25,0.3521605161156284,0.2300000000000001,71,0.3127958886139828,0.20400000000000773,62,0.15347593696117479,0.09730419166705284,41,0.1370294737483602,0.08685953339202479,71,0.2887662503135652,0.20803748493603202,39,0.16397244235273323,0.10561945685271734,59,0.10068480969937496,0.06200000000000028,65,0.4263514043877643,0.22699999999999942,25,0.4796905397066865,0.3794257505847456,25,0.4247305397066854,0.37042575058474436,,,,,,,,,,71,0.31161569416498974,0.23349999999999804,43,0.17496600554455868,0.127999999999999,60,0.12604523809523785,0.08743640112118523,71,0.17877464788732286,0.10099999999999865,71,0.20509859154929572,0.1259999999999999,23,0.048521739130435886,0.01900000000000146,11,0.010090909090908122,0.005999999999998895
80,16,0.0,0.6,955892128,600,6,1.5743000000000007,1.498300000000002,1.4947500000000011,80.00000000000003,80.00000000000017,80.00000000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.3412991116232544,1.3521212651819796,80.00000000000006,True,600,True,False,6,5860,42,1.3557144119923163,1.3603979557020163,80.00000000000036,True,600,True,False,6,5849,61,1.3564973766114032,1.3615234699759182,80.00000000000003,True,600,True,False,6,5829,62,1.3251804118955437,1.3253906225545775,79.99999999999925,True,600,True,False,2,11966,47,,,,,,,,,,,1.3392624999999982,1.3392624999999978,79.99999999999999,True,600,True,False,3,12909,59,64,0.29125111047092955,0.26549999999999996,29,0.21879258817884148,0.2070000000000003,26,0.19731833225818,0.1614247887012633,67,0.2609977170240986,0.23799999999999488,63,0.1810610641367412,0.17065391754634973,39,0.16442203039145661,0.15199999999999458,67,0.26006283389683027,0.23717989061790234,50,0.17707417515610502,0.1466752243384558,63,0.17555888684266083,0.1399999999999988,64,0.31139948513056626,0.2775000000000132,32,0.23960967198539523,0.20800000000000973,29,0.23413692813435866,0.20700000000000895,,,,,,,,,,67,0.28064179104477566,0.2539999999999998,49,0.20185786966104674,0.19276985072428343,63,0.19744444444444412,0.1691474523974954,65,0.09353846153846045,0.08199999999999874,65,0.0979076923076923,0.09099999999999975,25,0.014600000000001022,0.009000000000000785,11,0.009909090909089958,0.00999999999999912
80,16,0.0,0.6,451585301,600,6,1.7069875000000014,1.4943625000000016,1.4904125000000015,80.00000000000001,80.00000000000007,80.00000000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.3400509700466912,1.35037837304936,80.00000000000009,True,600,True,False,6,5790,35,1.3694638897911653,1.3764315730737544,80.00000000000053,True,600,True,False,6,5803,58,1.3835903700161534,1.3884525090136386,80.00000000000001,True,600,True,False,6,5777,62,1.3262916611893913,1.3266546774334775,80.0,True,600,True,False,2,11950,35,,,,,,,,,,,1.379112499999998,1.3791124999999989,80.00000000000001,True,600,True,False,2,11942,65,69,0.4254336579168786,0.3249999999999986,36,0.2644152400719529,0.16700000000000004,38,0.24403102534279236,0.12664843814324234,71,0.3803082931930516,0.3329191426852294,69,0.14480998285082258,0.09399999999999031,47,0.1419215222786212,0.06878106407763562,71,0.36439113237616355,0.31114530731819534,49,0.15744164753740364,0.13600000000000034,67,0.12754881192100923,0.0725606163828667,69,0.4413864797804131,0.3699999999999639,35,0.28396764618231457,0.1740000000000007,35,0.295596217610885,0.18653271257412163,,,,,,,,,,71,0.3694366197183094,0.3339999999999992,47,0.17066920831960355,0.13600000000000012,68,0.1309411764705878,0.07200000000000017,67,0.25388059701492427,0.2269999999999992,67,0.2585970149253731,0.2290000000000001,25,0.036960000000001096,0.03600000000000092,17,0.03770588235294013,0.0339999999999987
80,16,0.0,0.6,43469773,600,6,1.6949625000000001,1.5048125000000028,1.5039375000000006,80.00000000000017,80.00000000000009,80.00000000000009,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.3560330731943755,1.361422953099094,79.99999999999999,True,600,True,False,6,5861,47,1.3850403977153887,1.3900951468152978,80.00000000000034,True,600,True,False,6,5817,70,1.390877579807726,1.3956512799235692,80.00000000000006,True,600,True,False,6,5846,72,1.3383025107832525,1.3383344647220474,80.00000000000004,True,600,True,False,3,12954,52,,,,,,,,,,,1.3775999999999986,1.3775999999999993,80.00000000000004,True,600,True,False,3,12953,75,68,0.3987405021242627,0.2771134456243023,26,0.3642636823607974,0.29198677808673995,28,0.354489995404922,0.23919494541300373,69,0.3593299736633167,0.29000000000001647,65,0.14741181819644542,0.08699999999997576,37,0.1838922320358844,0.08767879121628552,69,0.3525622263098818,0.2869999999999997,48,0.15374026601207927,0.09169317803520527,66,0.1370423275057855,0.08060786367066353,68,0.4195999873138194,0.3192398631578095,27,0.32354394093068917,0.19901390258375828,27,0.31722914369153443,0.16659044696371827,,,,,,,,,,69,0.3679565217391302,0.34499999999999975,45,0.16792254010968316,0.1090000000000011,65,0.1554923076923076,0.0819999999999994,66,0.23048484848484738,0.1984999999999989,66,0.2315454545454545,0.20400000000000007,23,0.028826086956522754,0.023000000000000798,13,0.038923076923075985,0.01999999999999913
80,16,0.0,0.6,278009742,600,6,2.055849999999999,1.881575000000001,1.8606124999999998,79.99999999999999,80.00000000000011,79.99999999999997,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.7145355287717639,1.722338285191721,79.99999999999591,True,600,True,False,6,5834,67,1.7624687242011818,1.7663303368945966,79.99999999999999,True,600,True,False,6,5829,97,,,nan,True,600,False,False,6,5800,0,1.685130811641447,1.6870940946963826,80.00000000000004,True,600,True,False,3,12930,71,,,,,,,,,,,,,nan,True,651.4286340000108,False,False,4,13890,0,70,0.3900736814036943,0.24578513479874653,19,0.4812947180759812,0.19900000000004292,18,0.4495014290064972,0.16350360755277066,72,0.32597919533201863,0.23549999999999605,66,0.14437124339250662,0.08475948672480449,25,0.16100034683530318,0.09500000000001307,0,0,0,0,0,0,0,0,0,70,0.4236790724097728,0.2469819108818645,21,0.4059406343871754,0.1537440608823788,19,0.45020414473161235,0.19199999999999973,,,,,,,,,,0,0,0,0,0,0,0,0,0,72,0.19363888888888747,0.12299999999999822,73,0.21395890410958904,0.15300000000000025,30,0.05590000000000138,0.034000000000001696,12,0.05483333333333199,0.04249999999999887
80,16,0.0,0.6,548977048,600,6,1.7261875000000029,1.5799375000000018,1.5819250000000014,80.00000000000007,80.00000000000009,80.00000000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.4269455942240805,1.432972343124738,79.99999999999997,True,600,True,False,6,5821,51,1.4534448113022942,1.4600444412350064,79.99999999999999,True,600,True,False,6,5831,81,1.4560081881670426,1.4647747728991294,80.00000000000001,True,600,True,False,6,5797,76,1.3996671889746568,1.4027477994458928,79.99999999998855,True,600,True,False,3,12942,59,,,,,,,,,,,1.4360417198094078,1.4377348657474447,80.00000000000001,True,600,True,False,3,12935,79,69,0.3469471371314983,0.2635771911688227,28,0.2874634704138473,0.158521994084039,30,0.28634425663063606,0.15493887723039368,72,0.3030474318863385,0.2557545587952782,66,0.153324471148734,0.08556903710294594,40,0.18116562978365564,0.1112627706768583,72,0.3001992353699505,0.23797023101974912,47,0.1560059616814969,0.11200000000001065,66,0.15262643858540084,0.09512207675255524,69,0.3785742736526079,0.285211938210264,25,0.3727500259100319,0.22202835882233662,25,0.38511002591003085,0.22502835882233585,,,,,,,,,,72,0.3223842002117677,0.270700570456912,46,0.17450118321377997,0.11806441044369442,68,0.17162738845951872,0.11402899160430524,72,0.1624999999999987,0.137999999999999,72,0.16029166666666667,0.14250000000000007,24,0.020291666666667808,0.01550000000000129,16,0.035124999999998865,0.03049999999999886
80,16,0.0,0.6,521760889,600,6,2.1396875000000017,1.5671375000000014,1.581662500000001,80.00000000000007,80.00000000000003,79.99999999999999,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.4228132874953865,1.442697864271038,80.00000000000038,True,600,True,False,6,5868,41,1.4647808729126313,1.4713914703303208,80.00000000000045,True,600,True,False,6,5889,73,,,nan,True,49.869778600055724,False,False,2,1928,0,1.4163894563872446,1.4180315125728529,79.99999999999817,True,600,True,False,2,11985,40,,,,,,,,,,,,,nan,True,443.3243398000486,False,False,2,11985,0,62,0.9249989838769213,0.7097795713745414,34,0.2802807267763305,0.264647748244351,34,0.3225629489240456,0.32275202889282173,65,0.8306543102613746,0.555099864647957,56,0.1462237529819548,0.08481247404399006,38,0.20043029818964775,0.1195499323238749,0,0,0,0,0,0,0,0,0,62,0.9332877982099993,0.7686016594306035,36,0.28921227998784643,0.2928524101144391,37,0.35939283663169175,0.34700000000016573,,,,,,,,,,0,0,0,0,0,0,0,0,0,65,0.7046769230769219,0.5019999999999991,65,0.6868000000000003,0.5079999999999998,22,0.07663636363636493,0.06000000000000105,21,0.09623809523809423,0.09499999999999886
80,16,0.0,0.6,434794718,600,6,1.9885000000000006,1.6551250000000022,1.6639875000000006,79.99999999999997,80.00000000000007,80.00000000000004,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.4919456057912177,1.4999156027494296,79.99999999999946,True,600,True,False,6,5744,43,1.5420155014132177,1.5459531187869573,80.00000000000003,True,600,True,False,6,5853,70,1.5612124418101219,1.5634842370869773,79.99999999999994,True,600,True,False,6,5796,74,1.4731528460909558,1.477965778147449,80.00000000000115,True,600,True,False,2,11967,47,,,,,,,,,,,1.5412973749906698,1.5413490068004188,79.99999999999999,True,600,True,False,2,11974,80,67,0.5929007692045123,0.4332504012101941,33,0.2956215101126185,0.11302687663361288,31,0.3368226574941952,0.15981935531272895,70,0.510267998384892,0.4388597875383963,61,0.14834032601545147,0.07999999999999607,40,0.17013841672515645,0.12449552013754206,70,0.4883286379312877,0.42400000000000043,40,0.14883742600389563,0.07600000000000195,60,0.13703341091983573,0.06616761262345194,65,0.6342734201957343,0.4867548510457915,30,0.3290827870088195,0.13087742552298315,29,0.38480305959573335,0.21650198116501573,,,,,,,,,,70,0.5110887142963756,0.4240000000000005,41,0.1625613377640027,0.07600000000000229,60,0.16358683334577134,0.09726914635021178,69,0.3865217391304334,0.3689999999999989,69,0.3762463768115943,0.3560000000000001,21,0.03847619047619162,0.033000000000000806,20,0.05749999999999887,0.04299999999999882
