n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA
100,10,0.0,0.5,906691059,30,3,1.5268300000000001,1.3234100000000004,1.3004700000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2455755880425294,1.2455755880425294,False,1.5320000000065193,False,False,1,1000,1.2616647963280423,1.2616647963280423,False,1.359000000054948,False,False,1,1000,1.2677366253637656,1.2677366253637656,False,1.6559999999590218,False,False,1,1000,71,0.3961329745879879,0.3484729828138651,44,0.1786253119786575,0.14874457471599278,38,0.1599740243687431,0.12523711039906882,75,0.3535536048959442,0.31300000000000083,63,0.09800825979675995,0.04232594753307506,35,0.11242776904128246,0.07849258469374099,75,0.3454578328483138,0.32399662596614753,50,0.10340120624983141,0.08050000000000113,60,0.05455562439372564,0.03902466199803034
100,10,0.0,0.5,413653999,30,3,1.4826599999999994,1.3619300000000019,1.330560000000001,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2879478010986312,1.2879478010986312,False,1.8280000000959262,False,False,1,1000,1.2980032325524746,1.2980032325524746,False,1.3599999999860302,False,False,1,1000,,,False,1.577999999979511,False,False,1,1000,80,0.24339024862671232,0.1538074635512373,53,0.13075303188009077,0.09591736471179213,42,0.11037412776322904,0.07380944987702431,84,0.21982948505657865,0.15047649049745238,75,0.08523568993003561,0.04379952719846436,46,0.07706664958036993,0.03395457589879025,0,0,0,0,0,0,0,0,0
100,10,0.0,0.5,813847339,30,3,1.3833399999999987,1.291280000000001,1.2887700000000009,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2276727630125217,1.2276727630125217,False,2.562000000034459,False,False,1,1000,1.2465519900240387,1.2465519900240387,False,1.5320000000065193,False,False,1,1000,1.2512812120779364,1.2512812120779364,False,1.5320000000065193,False,False,1,1000,78,0.19957338075317865,0.1439497180295477,39,0.14081858488834992,0.07100000000000084,37,0.15313760870647353,0.07548275979837715,84,0.1628428690190026,0.10150000000000159,66,0.06776971208479195,0.03300000000000236,39,0.0761468584529999,0.0459999999999996,84,0.15721284276436226,0.10749999999999893,51,0.0672346714053384,0.03968746921391619,63,0.05950601257470549,0.03299999999999903
100,10,0.0,0.5,955892128,30,3,1.4432300000000011,1.3859300000000012,1.3573800000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.307231140944334,1.307231140944334,False,2.5320000000065193,False,False,1,1000,1.3203119667459744,1.3203119667459744,False,2.734000000054948,False,False,1,1000,,,False,3.984000000054948,False,False,1,1000,90,0.15110984339518524,0.0950000000000002,44,0.11816094339070667,0.06487127617014277,37,0.11297718879147797,0.06974255234028437,92,0.1336065578848119,0.10525173880571881,84,0.07811670625479496,0.04342206442921259,49,0.0682734813806747,0.044683048979629714,0,0,0,0,0,0,0,0,0
100,10,0.0,0.5,451585301,30,3,1.3244300000000004,1.2575100000000023,1.255810000000001,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.197182270423326,1.197182270423326,False,2.984000000054948,False,False,1,1000,1.215430000000002,1.215430000000002,False,2.625,False,False,1,1000,1.2162500000000005,1.2162500000000005,False,2.8910000000614673,False,False,1,1000,66,0.19279959026768886,0.13214455701147387,39,0.13381406798834972,0.07521655382480996,36,0.14635412920960017,0.08499147440702881,81,0.13456790123456658,0.0990000000000002,58,0.07255172413792958,0.03240949498201384,46,0.07491752843241692,0.034500000000001085,82,0.1319268292682929,0.10050000000000037,49,0.06345806020437075,0.034615528392315076,59,0.06705084745762734,0.035442408312994944
100,10,0.2,0.5,906691059,30,3,2.1470200000000013,1.7317500000000003,1.62023,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.607997472337024,1.607997472337024,False,2.609000000054948,False,False,1,1000,1.6336861253153345,1.6336861253153345,False,2.437000000034459,False,False,1,1000,,,False,2.594000000040978,False,False,1,1000,63,0.8555913137507566,0.7736401813091538,40,0.3120279329422728,0.20900000000000063,16,0.32820360618584,0.15773556859085103,63,0.8148156741026448,0.7996352725548812,60,0.16343979114111196,0.0888867545497668,17,0.15390668042482433,0.04493253512248607,0,0,0,0,0,0,0,0,0
100,10,0.2,0.5,413653999,30,3,2.0372399999999993,1.8448500000000023,1.7548900000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.7574026750297025,1.7574026750297025,False,1.672000000020489,False,False,1,1000,1.7716849075578165,1.7716849075578165,False,1.6719999999040738,False,False,1,1000,,,False,1.7809999999590218,False,False,1,1000,79,0.3542244619877194,0.2969999999999997,47,0.14737553773571935,0.07743189860182387,27,0.1388791864103793,0.025125709106497807,83,0.3199458945086551,0.28007492448964877,73,0.1002261540303899,0.06406169547327667,26,0.08910968636549278,0.022500000000001685,0,0,0,0,0,0,0,0,0
100,10,0.2,0.5,813847339,30,3,1.6386,1.4793000000000018,1.4769799999999993,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4006250142273253,1.4006250142273253,False,1.7349999999860302,False,False,1,1000,1.4239067503381786,1.4239067503381786,False,1.875,False,False,1,1000,1.4379702495016828,1.4379702495016828,False,1.8280000000959262,False,False,1,1000,76,0.31312498127983635,0.22201960496109296,28,0.23746591790647673,0.11651486289067348,29,0.25445942406791655,0.1756709746382077,81,0.26505339464422484,0.248,58,0.09550560286521151,0.04586748893420556,39,0.1275459747405401,0.07700000000000085,82,0.24467042743697484,0.19648185649574845,46,0.10344533988249449,0.048837272168925416,53,0.07360330282701766,0.04200000000000004
100,10,0.2,0.5,955892128,30,3,1.8927500000000006,1.7370900000000038,1.6697799999999992,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.6660892770495082,1.6660892770495082,False,1.6089999999385327,False,False,1,1000,1.6837258707849088,1.6837258707849088,False,1.5790000000270084,False,False,1,1000,,,False,1.562000000034459,False,False,1,1000,85,0.2666596740594029,0.15574304730546285,54,0.11223017070384475,0.03150000000000075,40,0.11958676756945139,0.026999999999999913,90,0.23224903246121353,0.12450000000000161,83,0.06429413158444967,0.027078631960328003,44,0.0803362230734634,0.026499999999999857,0,0,0,0,0,0,0,0,0
100,10,0.2,0.5,451585301,30,3,1.5393899999999994,1.4130900000000002,1.3909999999999996,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3362677287661833,1.3362677287661833,False,1.8910000000614673,False,False,1,1000,1.3544828317599817,1.3544828317599817,False,3.094000000040978,False,False,1,1000,,,False,2.344000000040978,False,False,1,1000,72,0.28211426560252534,0.1584230517452615,39,0.1528591166055544,0.08679439916942044,29,0.16250849368451534,0.11641992472676099,82,0.22549654663417085,0.14404308321148035,62,0.09452769070971044,0.06125530376296251,35,0.09456462356074646,0.04400000000000137,0,0,0,0,0,0,0,0,0
